Date,Close,Dividends,High,Low,Open,Stock Splits,Volume\n
2018-05-09,11.8804988861,0,11.9340150224,11.6931936852,11.8269836005,0,7799500\n
2018-05-10,12.0678033829,0,12.13915766,11.95185247,11.9875296085,0,11293300\n
2018-05-11,12.0410470963,0,12.1926751648,11.9964504554,12.1213208797,0,9322900\n
2018-05-14,12.0232057571,0,12.121318518,11.94293284,12.0856413824,0,5216600\n
2018-05-15,11.7467088699,0,11.8537402831,11.5861613248,11.7110317322,0,8322900\n
2018-05-16,11.7734661102,0,11.8269822403,11.7199508308,11.782385607,0,3881500\n
2018-05-17,11.7645483017,0,11.7913067959,11.7199525126,11.7734677998,0,3808400\n
2018-05-18,11.7377872467,0,11.773464378,11.5683210858,11.7021101154,0,6468100\n
2018-05-21,11.7734661102,0,11.8091432468,11.6307575641,11.711031334,0,5362000\n
2018-05-22,11.7021112442,0,11.9250935488,11.7021112442,11.8359011373,0,6272900\n
2018-05-23,11.8894176483,0,11.9250947867,11.6129200382,11.6575158233,0,6997700\n
2018-05-24,12.0232057571,0,12.1480761571,11.8180624401,11.8983362078,0,12550600\n
2018-05-25,11.9429330826,0,12.0767221312,11.8894169528,11.9964483618,0,5879300\n
2018-05-29,11.8894176483,0,12.0588846938,11.8180633715,11.8269828687,0,7178700\n
2018-05-30,11.9609298706,0.03,12.050323453,11.8804750497,11.9519902566,0,5934800\n
2018-05-31,11.7910833359,0,11.9788110106,11.7285077285,11.9788110106,0,10971000\n
2018-06-01,11.6927499771,0,11.8447200383,11.5675979113,11.7553255838,0,11123300\n
2018-06-04,11.5318403244,0,11.7642652246,11.505022329,11.7285076132,0,6315500\n
2018-06-05,11.5854787827,0,11.7016912489,11.5050239327,11.5497211663,0,8120200\n
2018-06-06,11.5675973892,0,11.6748710708,11.4513857971,11.6569918397,0,8649200\n
2018-06-07,11.5765371323,0,11.6569919681,11.5407795222,11.5854767479,0,8008100\n
2018-06-08,11.6391153336,0,11.674872949,11.5407812517,11.5765388671,0,3706400\n
2018-06-11,11.8000230789,0,11.835780691,11.5675981739,11.5944170224,0,7755700\n
2018-06-12,11.7642679214,0,11.791085923,11.6033582071,11.7106319184,0,7543900\n
2018-06-13,11.6659317017,0,11.7821441487,11.585476865,11.7553253015,0,9222100\n
2018-06-14,11.7732048035,0,11.8000227988,11.6659319697,11.7285075763,0,8698700\n
2018-06-15,11.4513864517,0,11.6748717381,11.3530523801,11.64805289,0,23710400\n
2018-06-18,11.4782047272,0,11.5050227235,11.3977498857,11.4335074983,0,9461700\n
2018-06-19,11.4960823059,0,11.5854767574,11.3709310968,11.3977490912,0,7640300\n
2018-06-20,11.4603252411,0,11.5497196969,11.4335072454,11.4960828529,0,4969800\n
2018-06-21,11.4871444702,0,11.5497200798,11.3709320149,11.3888103951,0,6177500\n
2018-06-22,11.6569929123,0,11.7016901416,11.505022844,11.5318408406,0,6626800\n
2018-06-25,11.5050230026,0,11.68381107,11.4960833861,11.5765382296,0,5818600\n
2018-06-26,11.3977508545,0,11.4424480872,11.2368411579,11.4335084701,0,9182200\n
2018-06-27,11.3530521393,0,11.4603249722,11.3262341442,11.370931371,0,6241300\n
2018-06-28,11.3530521393,0,11.442446593,11.2725973015,11.3530521393,0,6323000\n
2018-06-29,11.7374486923,0,11.808963924,11.3619932998,11.4335085315,0,13266400\n
2018-07-02,11.7285089493,0,11.8089637972,11.6122964859,11.6480541014,0,6910800\n
2018-07-03,11.9162349701,0,12.103962638,11.8357801335,11.8804773597,0,7541800\n
2018-07-05,12.0413856506,0,12.1129008633,11.9341128317,12.0413856506,0,8072500\n
2018-07-06,11.9341144562,0,12.1307808914,11.9162352243,11.9966900626,0,6668300\n
2018-07-09,11.8626003265,0,12.1486612424,11.8626003265,12.0413883989,0,7832300\n
2018-07-10,11.9877510071,0,11.9966906234,11.7910837101,11.8179025591,0,4982900\n
2018-07-11,11.5497198105,0,11.9519931604,11.4871442023,11.8804779361,0,10414000\n
2018-07-12,11.5675973892,0,11.6659314552,11.5586586262,11.6301738456,0,8562300\n
2018-07-13,11.5407791138,0,11.6122943314,11.4692638961,11.5139611203,0,6137000\n
2018-07-16,11.4603252411,0,11.5854773087,11.4513864775,11.5407800808,0,5852900\n
2018-07-17,11.3172950745,0,11.4513867615,11.2904770781,11.3530526872,0,9782900\n
2018-07-18,11.1921424866,0,11.254718088,11.0848688091,11.1921424866,0,14161500\n
2018-07-19,11.0312347412,0,11.2457804284,10.9329006618,10.9329006618,0,12548300\n
2018-07-20,11.0580511093,0,11.2904759958,10.9954755062,11.2010815464,0,10555700\n
2018-07-23,10.5574445724,0,10.9418386587,10.5395653416,10.9150206649,0,21697500\n
2018-07-24,10.6021413803,0,10.7004754492,10.5663837696,10.6289602277,0,12705600\n
2018-07-25,10.5663843155,0,10.6915363857,10.4322934815,10.6825967694,0,12034900\n
2018-07-26,9.9227466583,0,10.3339596029,9.8780494323,10.3071407558,0,27135200\n
2018-07-27,10.0389575958,0,10.173049265,9.7707759625,9.895927164,0,17541000\n
2018-07-30,9.9674434662,0,10.1104747661,9.8869894789,9.9763830823,0,15736400\n
2018-07-31,10.0032014847,0,10.1015355606,9.9316862581,9.9674438714,0,12351800\n
2018-08-01,9.7886562347,0,9.9942631596,9.743959003,9.9585055448,0,13076100\n
2018-08-02,9.779715538,0,9.9316855976,9.6992615529,9.7350191638,0,11334300\n
2018-08-03,9.9227466583,0,10.092595094,9.8333522063,9.8512314378,0,12830200\n
2018-08-06,9.842291832,0,9.9853222733,9.7082001539,9.8065342216,0,11572700\n
2018-08-07,9.6456251144,0,9.9853228587,9.609867502,9.9138076338,0,15938100\n
2018-08-08,9.761838913,0,9.8333541477,9.6277480611,9.7260812956,0,11703600\n
2018-08-09,9.7082004547,0,9.851231753,9.6903220753,9.815473289,0,8917100\n
2018-08-10,9.6813812256,0,9.8244116531,9.6456236187,9.6724416107,0,11317500\n
2018-08-13,9.3863811493,0,9.6724420163,9.3059263173,9.6456240231,0,13799300\n
2018-08-14,9.3059282303,0,9.4668379273,9.2433526159,9.4310803116,0,11269800\n
2018-08-15,8.9215326309,0,9.1718367769,8.6891085704,9.1360791636,0,24857700\n
2018-08-16,8.8142604828,0,9.1628978798,8.8053217181,9.0466854141,0,19481800\n
2018-08-17,8.9572906494,0,9.0735022476,8.8053205871,8.9304718013,0,17193300\n
2018-08-20,9.0645647049,0,9.1539583196,8.9662306204,9.0466854704,0,13360500\n
2018-08-21,9.1003198624,0,9.162895461,9.0198650341,9.1092586246,0,8847700\n
2018-08-22,9.2791099548,0,9.2880495716,9.1360794962,9.1360794962,0,10673300\n
2018-08-23,9.1450166702,0,9.2254715023,9.118198677,9.1807751312,0,15387200\n
2018-08-24,9.3506250381,0,9.520473492,9.1986549651,9.3059278074,0,14793600\n
2018-08-27,9.4936552048,0,9.5204732014,9.3863823658,9.3953219821,0,12521200\n
2018-08-28,9.4936552048,0,9.6456252732,9.4221399788,9.5919884274,0,14349800\n
2018-08-29,9.4936552048,0,9.6545648896,9.4847155884,9.5562308144,0,12503600\n
2018-08-30,9.3860759735,0.03,9.4667587097,9.2874633604,9.4308998109,0,8233200\n
2018-08-31,9.3412532806,0,9.520547797,9.2695354741,9.4309009663,0,14290400\n
2018-09-04,8.8212985992,0,9.1171347598,8.794404636,9.1171347598,0,17457600\n
2018-09-05,8.8302650452,0,8.9019828627,8.6420055604,8.9019828627,0,10374600\n
2018-09-06,8.8930149078,0,9.063344453,8.8661209491,8.9019798457,0,10115100\n
2018-09-07,9.0095586777,0,9.0454175828,8.7944052469,8.830264152,0,10388300\n
2018-09-10,8.749581337,0,9.0543824558,8.7316514571,8.9736997061,0,10805500\n
2018-09-11,8.7585468292,0,8.821299703,8.5433925315,8.7047580411,0,9029200\n
2018-09-12,9.036450386,0,9.1440270746,8.6957904449,8.7585441544,0,14433100\n
2018-09-13,9.0633468628,0,9.260571274,9.0005939908,9.2247123679,0,12262700\n
2018-09-14,9.0633468628,0,9.2516063338,8.9737000249,9.0633468628,0,9807800\n
2018-09-17,9.2785015106,0,9.3591834113,9.0723121512,9.1261009399,0,14812600\n
2018-09-18,9.3950414658,0,9.4577951894,9.3143595724,9.3412535368,0,15424900\n
2018-09-19,9.5026197433,0,9.6729493376,9.4667608364,9.4667608364,0,14289600\n
2018-09-20,9.5205488205,0,9.6550203634,9.3950422181,9.6101965158,0,14401800\n
2018-09-21,9.3860759735,0,9.529511569,9.1440277648,9.4040049955,0,24759500\n
2018-09-24,9.8970689774,0,10.0315396817,9.7446683898,9.8253511544,0,48744500\n
2018-09-25,10.0225744247,0,10.4349522863,10.0136094842,10.2825517165,0,32147700\n
2018-09-26,9.7267389297,0,10.0584340601,9.6998441061,10.0494691189,0,21161100\n
2018-09-27,9.9777498245,0,10.1032564181,9.6101958386,9.6101958386,0,27075900\n
2018-09-28,9.9329271317,0,10.1480805842,9.9060331638,10.031538917,0,18227900\n
2018-10-01,9.9867153168,0,10.0494681896,9.9149975036,9.9329265294,0,12271800\n
2018-10-02,10.4797744751,0,10.488739415,10.0315377407,10.0763615851,0,26020800\n
2018-10-03,10.4170227051,0,10.5783882201,10.3721988559,10.5156344893,0,18158700\n
2018-10-04,10.4439172745,0,10.4887411262,10.2915166915,10.4170233054,0,15534000\n
2018-10-05,10.2825508118,0,10.4259864284,10.1749740993,10.3811625845,0,15872600\n
2018-10-08,10.2287635803,0,10.2287635803,9.9418923036,10.0853279419,0,13408900\n
2018-10-09,10.1480817795,0,10.2108355184,9.9508581855,10.0763639535,0,12803900\n
2018-10-10,10.3094434738,0,10.4439141337,9.9687834999,10.1211840371,0,21261600\n
2018-10-11,11.2776355743,0,11.4300361244,10.4977038002,10.6052805082,0,49217900\n
2018-10-12,11.1790246964,0,11.295566353,10.8921525972,11.1431657908,0,26201700\n
2018-10-15,11.3852148056,0,11.6093332107,11.2597090459,11.2597090459,0,28002300\n
2018-10-16,11.4300374985,0,11.5914030073,11.2597079041,11.3583196845,0,25875600\n
2018-10-17,11.4031429291,0,11.6272612996,11.2866012738,11.3762481091,0,21769900\n
2018-10-18,11.7975921631,0,11.9679226219,11.3493553736,11.3493553736,0,29818400\n
2018-10-19,11.8155221939,0,12.0217107093,11.7706983434,11.8244862801,0,19246500\n
2018-10-22,11.7348384857,0,11.8693091714,11.6541557323,11.8065562988,0,24098900\n
2018-10-23,11.9589567184,0,12.6402767889,11.8513800002,12.1382512488,0,29114800\n
2018-10-24,11.7527675629,0,12.0486037567,11.7258735966,11.90516813,0,18129000\n
2018-10-25,11.2686719894,0,11.8155213895,11.2148840565,11.5645081857,0,31091700\n
2018-10-26,11.5196857452,0,11.896204714,11.3583202287,11.3852141964,0,24605800\n
2018-10-29,11.3672838211,0,11.627261092,11.2955660122,11.4479665698,0,15746700\n
2018-10-30,11.3941783905,0,11.4569312629,11.1342011058,11.2955666118,0,13378900\n
2018-10-31,11.2507410049,0,11.3493527682,11.0445516845,11.3403878293,0,23463000\n
2018-11-01,11.9589567184,0,12.0575684964,11.4569311784,11.4927900845,0,21163200\n
2018-11-02,11.8065567017,0,11.9589572733,11.6631210707,11.8513805501,0,12971600\n
2018-11-05,11.8424167633,0,12.0665351723,11.7169101465,11.8065578521,0,13967400\n
2018-11-06,11.7796621323,0,11.8513799441,11.6451905939,11.7975911577,0,9400700\n
2018-11-07,11.6362257004,0,11.9141328635,11.6182966748,11.8693090172,0,10592900\n
2018-11-08,11.7438049316,0,11.9051696042,11.6182983153,11.6541572264,0,14785100\n
2018-11-09,11.5734729767,0,11.6272617639,11.367284478,11.5196850444,0,12943700\n
